Date,OUTLET,SKU,Value
,OUTLET,MD290,
9/1/2025,JPC,840,"159,600.00"
9/4/2025,JPC,168,"31,920.00"
9/8/2025,JPC,840,"159,600.00"
9/11/2025,JPC,672,"127,680.00"
9/15/2025,JPC,840,"159,600.00"
9/18/2025,JPC,1176,"223,440.00"
9/22/2025,JPC,840,"159,600.00"
,JPC,,0
,JPC,,0
,JPC,,0
9/1/2025,J&E,168,"31,920.00"
9/8/2025,J&E,336,"63,840.00"
9/11/2025,J&E,,0
9/15/2025,J&E,504,"95,760.00"
9/18/2025,J&E,168,"31,920.00"
9/22/2025,J&E,336,"63,840.00"
,J&E,,0
,J&E,,0
,J&E,,0
,J&E,,0
9/1/2025,SDO,1344,"255,360.00"
9/4/2025,SDO,1680,"319,200.00"
9/8/2025,SDO,1680,"319,200.00"
9/11/2025,SDO,2352,"446,880.00"
9/15/2025,SDO,2016,"383,040.00"
9/18/2025,SDO,1680,"319,200.00"
9/22/2025,SDO,2352,"446,880.00"
,SDO,,0
,SDO,,0
,SDO,,0
9/1/2025,GG CRUZ,504,"95,760.00"
9/4/2025,GG CRUZ,336,"63,840.00"
9/8/2025,GG CRUZ,336,"63,840.00"
9/11/2025,GG CRUZ,504,"95,760.00"
9/18/2025,GG CRUZ,504,"95,760.00"
9/22/2025,GG CRUZ,336,"63,840.00"
,GG CRUZ,,0
,GG CRUZ,,0
,GG CRUZ,,0
,GG CRUZ,,0
9/2/2025,WILGO MART,,0
9/5/2025,WILGO MART,,0
9/9/2025,WILGO MART,,0
,WILGO MART,,0
9/19/2025,WILGO MART,,0
,WILGO MART,,0
,WILGO MART,,0
,WILGO MART,,0
,WILGO MART,,0
,WILGO MART,,0
9/5/2025,WILGO JOE,10,"1,900.00"
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
,WILGO JOE,,0
9/2/2025,BAQALA,,0
9/5/2025,BAQALA,2,380
9/9/2025,BAQALA,2,380
9/12/2025,BAQALA,,0
9/16/2025,BAQALA,2,380
9/19/2025,BAQALA,,0
9/23/2025,BAQALA,,0
,BAQALA,,0
,BAQALA,,0
,BAQALA,,0
9/5/2025,MELZON,5,950
9/9/2025,MELZON,5,950
9/12/2025,MELZON,,0
9/16/2025,MELZON,5,950
9/19/2025,MELZON,,0
,MELZON,,0
,MELZON,,0
,MELZON,,0
,MELZON,,0
,MELZON,,0
